1.24755e+06, 2.15015e+06, 238366, -1.18808e+06,
688260, 2.08933e+06, 499121, -1.84051e+06,
60460.6, 1.82306e+06, 703631, -2.32263e+06,
-573751, 1.3728e+06, 831511, -2.58688e+06,
-1.15201e+06, 779102, 870938, -2.60726e+06,
-1.61797e+06, 97903.2, 819770, -2.38196e+06,
-1.92692e+06, -604774, 685572, -1.93351e+06,
-2.05009e+06, -1.25936e+06, 484581, -1.30641e+06,
-1.97731e+06, -1.79981e+06, 239729, -562476,
-1.71774e+06, -2.17041e+06, -22018.4, 225584,
-1.29861e+06, -2.33178e+06, -272709, 981623,
-762208, -2.26511e+06, -486479, 1.63377e+06,
-161391, -1.97452e+06, -642310, 2.1216e+06,
445808, -1.48693e+06, -726167, 2.40194e+06,
1.00199e+06, -849567, -732289, 2.45284e+06,
1.45594e+06, -125368, -663517, 2.27523e+06,
1.76746e+06, 613401, -530639, 1.89222e+06,
1.91088e+06, 1.29252e+06, -350879, 1.34612e+06,
1.87713e+06, 1.84352e+06, -145697, 693643,
1.67406e+06, 2.21076e+06, 61780.4, -226.972,
1.3251e+06, 2.35733e+06, 249433, -668964,
866477, 2.26888e+06, 398577, -1.25112e+06,
343323, 1.9552e+06, 495891, -1.69616e+06,
-194951, 1.44917e+06, 534644, -1.96888e+06,
-699446, 803317, 515087, -2.05215e+06,
-1.12632e+06, 84266.8, 444017, -1.94763e+06,
-1.4406e+06, -634262, 333583, -1.67457e+06,
-1.61901e+06, -1.27922e+06, 199533, -1.26695e+06,
-1.65152e+06, -1.78588e+06, 59109.6, -769310,
-1.54152e+06, -2.10456e+06, -71106.2, -231772,
-1.30485e+06, -2.20567e+06, -177162, 295112,
-967640, -2.08265e+06, -249261, 765205,
-563363, -1.75233e+06, -282687, 1.14083e+06,
-129445, -1.25284e+06, -278037, 1.39565e+06,
296293, -639278, -240768, 1.51621e+06,
678948, 22464.3, -180138, 1.50207e+06,
989349, 662841, -107714, 1.36465e+06,
1.20615e+06, 1.21614e+06, -35643.2, 1.12514e+06,
1.31705e+06, 1.62742e+06, 25059.3, 811532,
1.31916e+06, 1.85812e+06, 65994.4, 455477,
1.21851e+06, 1.8898e+06, 82442.6, 89090.5,
